vol_id,layer_id,z,r,FTF_layer_id
19,30,2491.3504662762957,233.9473036525453,96
19,32,2850.3149383983573,234.86203369454898,96
20,2,398.7434277449381,296.33377675697557,97
20,4,451.3320339975633,295.8870977504211,97
20,6,509.33330789356927,296.2404547935971,97
20,8,573.6949510873341,297.6036175101653,97
20,10,647.8065757739171,296.4810087744971,97
20,12,729.5224878292272,296.3988347001168,97
20,14,819.6717536632831,297.5272283230158,97
20,16,922.5680348410535,296.39535942273494,97
20,18,1036.1365711733197,296.59428662713606,97
20,20,1145.2758830694274,293.5821612427634,98
20,22,1276.661689730517,293.19588705618594,98
20,24,1426.5881906208467,294.36144879818517,98
20,26,1596.9615185504745,292.8532827003372,98
20,28,1789.7555066079294,293.49723178589045,98
20,30,2007.0620954207625,293.1769095954601,98
20,32,2253.141370128298,294.54649349897323,98
20,34,2531.7273128401234,293.9616696255378,98
20,36,2849.0249291784703,293.8041825923992,98
22,2,-2850.3945568625372,603.7258347431999,1
22,4,-2532.3973786291504,604.1081025604576,1
22,6,-2237.275780476174,605.0075644846802,1
22,8,-1952.2363309846985,601.3700965071665,1
22,10,-1702.1570667043668,586.8679651489462,1
22,12,-1512.1187629590277,579.9063644553218,1
23,2,-58.6508953632447,399.6644210780609,1
23,4,-84.06446337050052,562.6130861318264,1
23,6,-85.78571000691993,762.2761469829096,1
23,8,-97.38793039942618,1000.1880417926882,1
24,2,1512.0011308674157,573.3682510128855,1
24,4,1701.975968505714,582.6919051670557,1
24,6,1951.9787895638856,601.3413126531327,1
24,8,2236.98098130986,610.6378871719581,1
24,10,2531.922127398407,610.9685804692575,1
24,12,2849.7593902948,604.4535662351518,1
