file,max_rss,time
Examples/Algorithms/Geant4/src/PrimaryGeneratorAction.cpp,145620992,1.002505
Examples/Algorithms/Geant4/src/RunAction.cpp,534544384,3.508843
Examples/Algorithms/Geant4/src/SteppingAction.cpp,607768576,4.010126
Examples/Algorithms/Geant4DD4hep/src/DD4hepDetectorConstruction.cpp,287031296,1.503905
Examples/Algorithms/Generators/ActsExamples/Generators/EventGenerator.cpp,449302528,5.012833
Examples/Algorithms/Generators/ActsExamples/Generators/ParametricParticleGenerator.cpp,255086592,1.50379
Examples/Algorithms/Generators/ActsExamples/Options/ParticleGunOptions.cpp,554020864,4.010788
Examples/Algorithms/GeneratorsPythia8/ActsExamples/Generators/Pythia8ProcessGenerator.cpp,558403584,4.511415
Examples/Algorithms/GeneratorsPythia8/ActsExamples/Options/Pythia8Options.cpp,555352064,4.010292
Examples/Algorithms/MaterialMapping/src/MaterialMapping.cpp,767209472,5.51378
Examples/Algorithms/Printers/ActsExamples/Printers/HitsPrinter.cpp,339582976,2.005289
Examples/Algorithms/Printers/ActsExamples/Printers/ParticlesPrinter.cpp,381566976,2.506243
Examples/Algorithms/Printers/ActsExamples/Printers/TrackParametersPrinter.cpp,472379392,3.508805
Examples/Algorithms/TrackFinding/src/SeedingAlgorithm.cpp,642646016,5.513934
Examples/Algorithms/TrackFinding/src/SpacePointMaker.cpp,817266688,6.517175
Examples/Algorithms/TrackFinding/src/SpacePointMakerOptions.cpp,345034752,2.005052
Examples/Algorithms/TrackFinding/src/TrackFindingAlgorithm.cpp,807186432,5.513836
Examples/Algorithms/TrackFinding/src/TrackFindingAlgorithmFunction.cpp,3630460928,54.639992
Examples/Algorithms/TrackFinding/src/TrackFindingOptions.cpp,865464320,6.516844
Examples/Algorithms/TrackFinding/src/TrackParamsEstimationAlgorithm.cpp,720449536,6.516899
Examples/Algorithms/TrackFitting/src/TrackFittingOptions.cpp,288718848,1.503826
Examples/Algorithms/TrackFitting/src/SurfaceSortingAlgorithm.cpp,572690432,4.511484
Examples/Algorithms/TrackFitting/src/TrackFittingAlgorithm.cpp,812032000,6.015533
Examples/Algorithms/TrackFitting/src/TrackFittingAlgorithmFunction.cpp,3024609280,47.119269
Examples/Algorithms/TruthTracking/ActsExamples/TruthTracking/ParticleSelector.cpp,583704576,4.511417
Examples/Algorithms/TruthTracking/ActsExamples/TruthTracking/ParticleSmearing.cpp,574697472,4.01089
Examples/Algorithms/TruthTracking/ActsExamples/TruthTracking/TrackSelector.cpp,483991552,3.509055
Examples/Algorithms/TruthTracking/ActsExamples/TruthTracking/TruthSeedSelector.cpp,465682432,4.511465
Examples/Algorithms/TruthTracking/ActsExamples/TruthTracking/TruthTrackFinder.cpp,380411904,4.009992
Examples/Algorithms/TruthTracking/ActsExamples/TruthTracking/TruthVertexFinder.cpp,327483392,2.004982
Examples/Algorithms/Vertexing/src/AdaptiveMultiVertexFinderAlgorithm.cpp,2185588736,25.063405
Examples/Algorithms/Vertexing/src/IterativeVertexFinderAlgorithm.cpp,1645547520,20.552227
Examples/Algorithms/Vertexing/src/TutorialVertexFinderAlgorithm.cpp,871612416,5.513922
Examples/Algorithms/Vertexing/src/VertexFitterAlgorithm.cpp,1707503616,17.545762
Examples/Algorithms/Vertexing/src/VertexingOptions.cpp,381382656,2.506208
Examples/Detectors/ContextualDetector/src/AlignedDetector.cpp,1168883712,13.033475
Examples/Detectors/ContextualDetector/src/AlignmentDecorator.cpp,569585664,4.511741
Examples/Detectors/ContextualDetector/src/PayloadDecorator.cpp,509546496,4.011746
Examples/Detectors/ContextualDetector/src/PayloadDetector.cpp,1145430016,12.531461
Examples/Detectors/DD4hepDetector/src/Demonstrator/DemonstratorBarrel_geo.cpp,403644416,2.506554
Examples/Detectors/DD4hepDetector/src/Demonstrator/DemonstratorBeamPipe_geo.cpp,155119616,1.503932
Examples/Detectors/DD4hepDetector/src/FCChh/FCChhTrackerTkLayout_Barrel.cpp,574144512,4.010469
Examples/Detectors/DD4hepDetector/src/FCChh/FCChhTrackerTkLayout_Beampipe.cpp,155664384,1.503763
Examples/Detectors/DD4hepDetector/src/FCChh/FCChhTrackerTkLayout_Endcap.cpp,582291456,4.009995
