gen1_geo_id,gen3_geo_id
1224979236083757312,648518346341380352
1224979236083757568,648518346341380608
1224979236083757824,648518346341380864
1224979236083758080,648518346341381120
1224979236083758336,648518346341381376
1224979236083758592,648518346341381632
1224979236083758848,648518346341381888
1224979236083759104,648518346341382144
1224979236083759360,648518346341382400
1224979236083759616,648518346341382656
1224979236083759872,648518346341382912
1224979236083760128,648518346341383168
1224979236083760384,648518346341383424
1224979236083760640,648518346341383680
1224979236083760896,648518346341383936
1224979236083761152,648518346341384192
1224979236083761408,648518346341384448
1224979236083761664,648518346341384704
1224979236083761920,648518346341384960
1224979236083762176,648518346341385216
1224979236083762432,648518346341385472
1224979236083762688,648518346341385728
1224979236083762944,648518346341385984
1224979236083763200,648518346341386240
1224979236083763456,648518346341386496
1224979236083763712,648518346341386752
1224979236083763968,648518346341387008
1224979236083764224,648518346341387264
1224979236083764480,648518346341387520
1224979236083764736,648518346341387776
1224979236083764992,648518346341388032
1224979236083765248,648518346341388288
1224979236083765504,648518346341388544
1224979236083765760,648518346341388800
1224979236083766016,648518346341389056
1224979236083766272,648518346341389312
1224979236083766528,648518346341389568
1224979236083766784,648518346341389824
1224979236083767040,648518346341390080
1224979236083767296,648518346341390336
1224979236083767552,648518346341390592
1224979236083767808,648518346341390848
1224979236083768064,648518346341391104
1224979236083768320,648518346341391360
1224979236083768576,648518346341391616
1224979236083768832,648518346341391872
1224979236083769088,648518346341392128
1224979236083769344,648518346341392384
1224979236083769600,648518346341392640
1224979236083769856,648518346341392896
1224979236083770112,648518346341393152
1224979236083770368,648518346341393408
1224979236083770624,648518346341393664
1224979236083770880,648518346341393920
1224979236083771136,648518346341394176
1224979236083771392,648518346341394432
1224979236083771648,648518346341394688
1224979236083771904,648518346341394944
1224979236083772160,648518346341395200
1224979236083772416,648518346341395456
1224979236083772672,648518346341395712
1224979236083772928,648518346341395968
1224979236083773184,648518346341396224
1224979236083773440,648518346341396480
1224979236083773696,648518346341396736
1224979236083773952,648518346341396992
1224979236083774208,648518346341397248
1224979236083774464,648518346341397504
1224979236083774720,648518346341397760
1224979236083774976,648518346341398016
1224979236083775232,648518346341398272
1224979236083775488,648518346341398528
1224979236083775744,648518346341398784
1224979236083776000,648518346341399040
1224979236083776256,648518346341399296
1224979236083776512,648518346341399552
1224979236083776768,648518346341399808
1224979236083777024,648518346341400064
1224979236083777280,648518346341400320
1224979236083777536,648518346341400576
1224979236083777792,648518346341400832
1224979236083778048,648518346341401088
1224979236083778304,648518346341401344
1224979236083778560,648518346341401600
1224979236083778816,648518346341401856
1224979236083779072,648518346341402112
1224979236083779328,648518346341402368
1224979236083779584,648518346341402624
1224979236083779840,648518346341402880
1224979236083780096,648518346341403136
1224979236083780352,648518346341403392
1224979236083780608,648518346341403648
1224979236083780864,648518346341403904
1224979236083781120,648518346341404160
1224979236083781376,648518346341404416
1224979236083781632,648518346341404672
1224979236083781888,648518346341404928
1224979236083782144,648518346341405184
1224979236083782400,648518346341405440
1224979236083782656,648518346341405696
1224979236083782912,648518346341405952
1224979236083783168,648518346341406208
1224979236083783424,648518346341406464
1224979236083783680,648518346341406720
1224979236083783936,648518346341406976
1224979236083784192,648518346341407232
1224979236083784448,648518346341407488
1224979236083784704,648518346341407744
1224979236083784960,648518346341408000
1224979236083785216,648518346341408256
1224979236083785472,648518346341408512
1224979236083785728,648518346341408768
1224979373522682112,720575940379279616
1224979373522682368,720575940379279872
1224979373522682624,720575940379280128
1224979373522682880,720575940379280384
1224979373522683136,720575940379280640
1224979373522683392,720575940379280896
1224979373522683648,720575940379281152
1224979373522683904,720575940379281408
1224979373522684160,720575940379281664
1224979373522684416,720575940379281920
1224979373522684672,720575940379282176
1224979373522684928,720575940379282432
1224979373522685184,720575940379282688
1224979373522685440,720575940379282944
1224979373522685696,720575940379283200
1224979373522685952,720575940379283456
1224979373522686208,720575940379283712
1224979373522686464,720575940379283968
1224979373522686720,720575940379284224
1224979373522686976,720575940379284480
1224979373522687232,720575940379284736
1224979373522687488,720575940379284992
1224979373522687744,720575940379285248
1224979373522688000,720575940379285504
1224979373522688256,720575940379285760
1224979373522688512,720575940379286016
1224979373522688768,720575940379286272
1224979373522689024,720575940379286528
1224979373522689280,720575940379286784
1224979373522689536,720575940379287040
1224979373522689792,720575940379287296
1224979373522690048,720575940379287552
1224979373522690304,720575940379287808
1224979373522690560,720575940379288064
1224979373522690816,720575940379288320
1224979373522691072,720575940379288576
1224979373522691328,720575940379288832
1224979373522691584,720575940379289088
1224979373522691840,720575940379289344
1224979373522692096,720575940379289600
1224979373522692352,720575940379289856
1224979373522692608,720575940379290112
1224979373522692864,720575940379290368
1224979373522693120,720575940379290624
1224979373522693376,720575940379290880
1224979373522693632,720575940379291136
1224979373522693888,720575940379291392
1224979373522694144,720575940379291648
1224979373522694400,720575940379291904
1224979373522694656,720575940379292160
1224979373522694912,720575940379292416
1224979373522695168,720575940379292672
1224979373522695424,720575940379292928
1224979373522695680,720575940379293184
1224979373522695936,720575940379293440
1224979373522696192,720575940379293696
1224979373522696448,720575940379293952
1224979373522696704,720575940379294208
1224979373522696960,720575940379294464
1224979373522697216,720575940379294720
1224979373522697472,720575940379294976
1224979373522697728,720575940379295232
1224979373522697984,720575940379295488
1224979373522698240,720575940379295744
1224979373522698496,720575940379296000
1224979373522698752,720575940379296256
1224979373522699008,720575940379296512
1224979373522699264,720575940379296768
1224979373522699520,720575940379297024
1224979373522699776,720575940379297280
1224979373522700032,720575940379297536
1224979373522700288,720575940379297792
1224979373522700544,720575940379298048
1224979373522700800,720575940379298304
